id,time,video_end_time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
4.0,1685917820.93,1685917819,29,285.49,102.579,18.161,14.458,-1364.54,-1131.03
5.0,1685917820.93,1685917819,29,257.509,149.37,27.008,23.121,-1380.7,-1120.57
1.0,1685917820.8,1685917819,27,292.778,60.549,11.602,6.242,-1327.48,-1150.38
2.0,1685917820.8,1685917819,27,311.794,60.396,10.131,8.77,-1328.59,-1154.6
3.0,1685917820.8,1685917819,27,301.603,72.867,11.53,10.166,-1343.42,-1144.35
4.0,1685917820.8,1685917819,27,282.958,107.284,18.57,16.268,-1366.81,-1129.6
5.0,1685917820.8,1685917819,27,250.333,160.688,30.714,25.589,-1383.18,-1118.92
1.0,1685917820.4,1685917819,21,288.952,65.396,10.707,8.058,-1334.03,-1146.26
2.0,1685917820.4,1685917819,21,308.897,64.946,9.608,8.473,-1334.71,-1150.57
3.0,1685917820.4,1685917819,21,297.321,80.625,12.798,10.359,-1350.44,-1139.91
4.0,1685917820.4,1685917819,21,273.486,125.135,22.551,19.782,-1373.88,-1125.17
5.0,1685917820.4,1685917819,21,223.305,209.175,40.103,38.044,-1390.84,-1114.11
1.0,1685917821.4,1685917819,36,301.573,53.27,7.858,6.299,-1315.66,-1158.72
2.0,1685917821.4,1685917819,36,315.731,55.116,9.807,7.408,-1320.27,-1160.24
3.0,1685917821.4,1685917819,36,305.882,65.762,8.843,7.468,-1335.57,-1149.41
4.0,1685917821.4,1685917819,36,293.034,88.938,14.666,12.195,-1356.61,-1136.06
5.0,1685917821.4,1685917819,36,273.05,120.548,21.204,16.643,-1372.18,-1125.86
1.0,1685917822.13,1685917819,47,308.634,47.178,6.942,7.107,-1302.95,-1167.58
2.0,1685917822.13,1685917819,47,319.445,50.147,9.149,6.354,-1310.84,-1166.63
4.0,1685917822.13,1685917819,47,301.095,74.054,11.728,9.356,-1344.6,-1143.64
5.0,1685917822.13,1685917819,47,288.143,93.894,14.741,11.456,-1359.68,-1133.76
7.0,1685917822.13,1685917819,47,180.844,73.716,17.311,13.064,-1337.6,-1121.6
1.0,1685917820.47,1685917819,22,289.998,64.429,10.702,7.941,-1332.82,-1147.09
2.0,1685917820.47,1685917819,22,309.308,64.377,10.226,8.177,-1334.0,-1151.05
3.0,1685917820.47,1685917819,22,298.192,79.418,12.287,9.903,-1349.45,-1140.58
4.0,1685917820.47,1685917819,22,275.014,121.897,22.483,19.157,-1372.75,-1125.86
5.0,1685917820.47,1685917819,22,228.805,199.112,38.095,35.346,-1389.56,-1114.91
1.0,1685917819.33,1685917819,5,266.768,90.226,16.824,12.92,-1356.41,-1131.72
2.0,1685917819.33,1685917819,5,299.856,80.767,14.25,12.736,-1350.68,-1140.27
3.0,1685917819.33,1685917819,5,279.779,109.7,19.2,16.854,-1367.85,-1128.68
1.0,1685917821.6,1685917819,39,303.444,51.109,7.312,6.663,-1311.44,-1161.46
2.0,1685917821.6,1685917819,39,316.925,53.504,8.568,6.951,-1317.4,-1162.18
4.0,1685917821.6,1685917819,39,295.411,84.418,13.665,11.021,-1353.41,-1138.07
5.0,1685917821.6,1685917819,39,278.246,111.551,17.716,15.524,-1368.63,-1128.12
7.0,1685917821.6,1685917819,39,205.792,63.778,14.82,11.101,-1326.22,-1129.65
1.0,1685917820.07,1685917819,16,283.894,71.324,11.953,9.52,-1340.8,-1141.91
2.0,1685917820.07,1685917819,16,306.565,68.602,11.095,10.362,-1339.04,-1147.72
3.0,1685917820.07,1685917819,16,293.179,87.36,13.701,11.37,-1355.5,-1136.63
4.0,1685917820.07,1685917819,16,262.21,145.936,26.477,24.614,-1379.92,-1121.35
1.0,1685917821.93,1685917819,44,306.71,48.447,6.881,5.545,-1305.82,-1165.44
2.0,1685917821.93,1685917819,44,318.667,50.758,8.353,6.459,-1312.07,-1165.7
4.0,1685917821.93,1685917819,44,298.862,77.722,12.435,9.763,-1347.98,-1141.46
5.0,1685917821.93,1685917819,44,284.711,99.97,15.221,11.997,-1363.11,-1131.59
7.0,1685917821.93,1685917819,44,190.72,69.442,16.573,12.466,-1333.05,-1124.61
1.0,1685917820.73,1685917819,26,292.473,60.967,11.265,6.419,-1328.08,-1150.0
2.0,1685917820.73,1685917819,26,311.128,60.99,10.734,8.818,-1329.42,-1153.98
3.0,1685917820.73,1685917819,26,300.855,74.149,11.623,10.11,-1344.68,-1143.55
4.0,1685917820.73,1685917819,26,281.372,110.223,19.043,16.563,-1368.13,-1128.77
5.0,1685917820.73,1685917819,26,246.55,167.078,32.484,27.067,-1384.44,-1118.11
1.0,1685917819.93,1685917819,14,281.03,74.037,12.481,10.115,-1343.51,-1140.06
2.0,1685917819.93,1685917819,14,305.311,70.271,12.169,11.211,-1340.86,-1146.48
3.0,1685917819.93,1685917819,14,291.525,90.796,14.926,12.439,-1357.81,-1135.22
4.0,1685917819.93,1685917819,14,256.416,156.587,29.394,27.705,-1382.39,-1119.79
1.0,1685917879.53,1685917878,23,303.874,77.336,10.681,9.111,-1347.87,-1142.5
4.0,1685917879.53,1685917878,23,294.118,49.422,8.259,6.329,-1306.86,-1160.96
5.0,1685917879.53,1685917878,23,279.727,76.06,15.456,12.566,-1345.45,-1138.91
6.0,1685917879.53,1685917878,23,264.715,127.709,23.513,19.041,-1374.54,-1123.85
6.0,1685917881.87,1685917878,58,301.272,57.195,8.734,6.68,-1322.74,-1154.97
10.0,1685917881.87,1685917878,58,276.658,76.554,13.915,10.885,-1345.76,-1138.15
16.0,1685917881.87,1685917878,58,291.78,98.155,13.823,12.035,-1362.35,-1133.03
17.0,1685917881.87,1685917878,58,299.476,75.966,11.576,8.337,-1346.38,-1142.4
1.0,1685917878.87,1685917878,13,293.685,95.229,14.168,12.117,-1360.71,-1134.14
2.0,1685917878.87,1685917878,13,305.446,73.648,9.605,6.698,-1344.43,-1144.63
4.0,1685917878.87,1685917878,13,282.578,57.288,9.122,7.874,-1321.46,-1150.62
5.0,1685917878.87,1685917878,13,259.249,99.429,21.134,18.473,-1361.89,-1128.28
4.0,1685917880.53,1685917878,38,305.568,41.115,6.707,5.693,-1285.34,-1175.91
6.0,1685917880.53,1685917878,38,287.696,81.11,13.767,10.614,-1350.39,-1138.13
10.0,1685917880.53,1685917878,38,218.067,146.978,29.392,23.153,-1379.21,-1117.13
6.0,1685917881.73,1685917878,56,300.524,58.875,7.826,6.022,-1325.44,-1153.39
10.0,1685917881.73,1685917878,56,273.434,79.902,14.755,11.547,-1348.67,-1136.24
16.0,1685917881.73,1685917878,56,288.299,104.46,14.68,12.813,-1365.61,-1130.93
17.0,1685917881.73,1685917878,56,297.479,78.906,12.533,8.804,-1348.97,-1140.69
1.0,1685917879.47,1685917878,22,302.918,78.728,11.711,9.816,-1349.07,-1141.68
4.0,1685917879.47,1685917878,22,293.054,50.043,7.859,6.487,-1308.16,-1159.98
5.0,1685917879.47,1685917878,22,278.09,77.851,15.86,12.903,-1347.05,-1137.85
6.0,1685917879.47,1685917878,22,261.259,132.988,24.529,20.692,-1376.18,-1122.77
1.0,1685917880.13,1685917878,32,309.843,67.066,8.669,6.533,-1337.42,-1149.33
4.0,1685917880.13,1685917878,32,301.373,44.071,6.0,5.716,-1293.91,-1169.91
5.0,1685917880.13,1685917878,32,290.958,64.099,12.387,8.689,-1332.43,-1147.5
6.0,1685917880.13,1685917878,32,281.174,94.503,15.971,12.848,-1359.78,-1132.59
6.0,1685917881.53,1685917878,53,298.85,62.433,9.371,5.558,-1330.66,-1150.29
10.0,1685917881.53,1685917878,53,267.804,86.045,16.101,12.609,-1353.43,-1133.16
16.0,1685917881.53,1685917878,53,283.016,115.276,17.819,16.031,-1370.38,-1127.95
17.0,1685917881.53,1685917878,53,294.492,83.502,13.031,10.71,-1352.65,-1138.28
1.0,1685917878.8,1685917878,12,292.621,97.816,14.244,12.645,-1362.19,-1133.24
2.0,1685917878.8,1685917878,12,304.61,75.027,9.736,6.775,-1345.74,-1143.76
4.0,1685917878.8,1685917878,12,281.306,58.39,9.623,7.635,-1323.22,-1149.47
5.0,1685917878.8,1685917878,12,256.432,103.017,22.326,19.181,-1363.77,-1127.11
