id,time,frame_num,class,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
4939,692.2,3461,2,943.807,433.385,42.842,20.848,305783.95,4771031.71
4728,692.2,3461,2,1092.697,461.403,76.68,27.766,305762.53,4771008.8
4904,692.2,3461,2,1556.531,578.97,201.631,99.603,305738.64,4770988.26
4916,692.2,3461,0,1710.76,478.539,20.663,34.759,305760.42,4770978.88
4682,716.0,3580,2,1031.9,469.92,91.34,40.579,305757.65,4771011.22
4699,716.0,3580,2,1171.156,482.257,102.398,41.483,305754.22,4771001.88
4914,716.0,3580,2,1382.07,498.154,164.657,56.117,305751.41,4770992.16
4929,716.0,3580,2,850.938,757.449,291.996,142.46,305722.42,4771000.36
4960,716.0,3580,2,1627.169,529.559,190.666,51.701,305746.55,4770984.98
4977,716.0,3580,2,586.358,594.973,165.172,76.37,305727.39,4771013.76
5034,716.0,3580,2,537.502,565.293,137.562,55.806,305729.36,4771019.11
5075,716.0,3580,2,281.568,681.717,246.937,98.087,305719.93,4771014.29
5091,716.0,3580,2,344.684,614.735,191.273,47.76,305723.25,4771019.04
5101,716.0,3580,2,972.442,519.191,112.032,65.443,305741.81,4771007.63
5109,716.0,3580,2,733.119,474.423,56.303,35.566,305751.69,4771030.86
5116,716.0,3580,2,456.455,497.445,49.926,33.304,305739.06,4771041.56
5146,716.0,3580,2,778.581,467.167,51.42,26.773,305755.76,4771030.28
5148,716.0,3580,2,647.209,458.545,33.857,20.789,305758.78,4771047.66
